,Take_Action,Priority,Time,Team,Add_Player,Player,Comment,Round/Pick,Pick,Round
0,Approved,1,07/31/20 11:45 pm ET,Up a Creek w/o a Trout,Dansby Swanson SS | ATL ,Adalberto Mondesi SS | KC,First choice,7 / 51,51,7
2,Approved,1,07/30/20 11:09 pm ET,Aces and Eighth Hitters,Miguel Cabrera DH | DET,Howie Kendrick 1B | WAS,,20 / 160,160,20
3,Approved,6,07/31/20 09:44 pm ET,Mattingly's Sideburns,Adam Wainwright SP | STL,Oscar Mercado CF | CLE,,21 / 166,166,21
6,Approved,1,07/29/20 12:28 pm ET,Mattingly's Sideburns,German Marquez SP | COL,Mike Foltynewicz SP | ATL,,22 / 171,171,22
10,Approved,3,08/01/20 12:49 am ET,Up a Creek w/o a Trout,Kyle Lewis RF | SEA,Alex Wood SP | LAD,First choice,22 / 174,174,22
16,Approved,1,08/01/20 05:58 pm ET,BK Cyclones,Michael Wacha SP | NYM ,Marcus Stroman SP | NYM,,23 / 178,178,23
17,Approved,18,08/01/20 10:02 pm ET,Up a Creek w/o a Trout,Joe Jimenez RP | DET,Hansel Robles RP | LAA,First choice,23 / 179,179,23
22,Approved,1,08/01/20 01:21 pm ET,Swole Daddy,Drew Pomeranz RP | SD ,Sean Doolittle RP | WAS,,23 / 181,181,23
27,Approved,14,08/01/20 01:50 pm ET,Swole Daddy,Ryan McMahon 2B | COL,Robbie Ray SP | ARI,,24 / 188,188,24
30,Approved,14,08/01/20 10:56 pm ET,Up a Creek w/o a Trout,Brandon Lowe 2B | TB ,Miguel Andujar DH | NYY,First choice,25 / 195,195,25
34,Approved,3,07/31/20 09:37 pm ET,Mattingly's Sideburns,Alex Cobb SP | BAL,Eduardo Rodriguez SP | BOS,,25 / 198,198,25
36,Approved,17,08/01/20 01:56 pm ET,Swole Daddy,Tyler O'Neill LF | STL,Tommy La Stella 2B | LAA,,26 / 204,204,26
40,Approved,9,08/01/20 09:52 pm ET,Danimal,Zack Britton RP | NYY ,Jose Leclerc RP | TEX,,26 / 205,205,26
41,Approved,10,08/01/20 01:06 am ET,Up a Creek w/o a Trout,Dallas Keuchel SP | CHW,Amed Rosario SS | NYM,Second choice,27 / 211,211,27
46,Approved,4,07/27/20 09:00 am ET,Danimal,Yonny Chirinos SP | TB,Joe Musgrove SP | PIT,,27 / 212,212,27
48,Approved,11,08/01/20 01:47 pm ET,Swole Daddy,Dylan Bundy SP | LAA,Luke Weaver SP | ARI,,27 / 213,213,27
51,Approved,2,08/01/20 10:18 pm ET,Danimal,Mike Yastrzemski LF | SF,Dylan Cease SP | CHW,,29 / 228,228,29
54,Approved,10,08/01/20 01:42 pm ET,Swole Daddy,Josh Lindblom RP | MIL ,Caleb Smith SP | MIA,,29 / 229,229,29
55,Approved,6,08/01/20 01:34 pm ET,Swole Daddy,Daniel Hudson RP | WAS,Shogo Akiyama CF | CIN,,30 / 236,236,30
61,Approved,24,08/01/20 11:39 pm ET,Up a Creek w/o a Trout,Cristian Javier SP | HOU,Mitch Keller SP | PIT,Second choice,30 / 238,238,30
