,Round/Pick,Player,Elapsed Time,Roto Rank Overall,Roto Rank Pos,Pick,Round
0,1 / 5,Gerrit Cole SP | NYY,17 sec,8.0,#7 P,5,1
1,2 / 12,Jacob deGrom SP | NYM,38 sec,33.0,#18 P,12,2
2,3 / 21,Aaron Judge RF | NYY,11 sec,26.0,#7 OF,21,3
3,4 / 28,Bryce Harper RF | PHI,16 sec,484.0,#80 OF,28,4
4,5 / 37,Josh Donaldson 3B | MIN,38 sec,526.0,#36 3B,37,5
5,6 / 44,Max Muncy 2B | LAD,10 sec,150.0,#8 2B,44,6
6,7 / 53,Josh Hader RP | MIL,24 sec,206.0,#142 P,53,7
7,8 / 60,Josh Bell 1B | PIT,44 sec,550.0,#38 1B,60,8
8,9 / 69,Yasmani Grandal C | CHW,43 sec,619.0,#21 C,69,9
9,10 / 76,Shohei Ohtani DH | LAA,47 sec,265.0,#83 U,76,10
10,11 / 85,Marcus Semien SS | OAK,22 sec,589.0,#40 SS,85,11
11,12 / 92,Michael Conforto RF | NYM,40 sec,256.0,#40 OF,92,12
12,13 / 101,Andrew McCutchen LF | PHI,42 sec,1810.0,#325 OF,101,13
13,14 / 108,Carlos Santana 1B | CLE,5 sec,519.0,#33 1B,108,14
14,15 / 117,Franmil Reyes RF | CLE,6 sec,1689.0,#289 OF,117,15
15,16 / 124,Rhys Hoskins 1B | PHI,7 sec,1175.0,#50 1B,124,16
16,17 / 133,Kenta Maeda SP | MIN,18 sec,4.0,#4 P,133,17
17,18 / 140,Ken Giles RP | TOR,29 sec,524.0,#341 P,140,18
18,19 / 149,Mark Canha CF | OAK,16 sec,339.0,#49 OF,149,19
19,20 / 156,Jo Adell RF | LAA,35 sec,1268.0,#224 OF,156,20
20,21 / 165,Luke Voit 1B | NYY,9 sec,280.0,#14 1B,165,21
21,22 / 172,MacKenzie Gore SP | SD,19 sec,673.0,#555 P,172,22
22,23 / 181,Drew Pomeranz RP | SD ,32 sec,533.0,#346 P,181,23
23,24 / 188,Ryan McMahon 2B | COL,8 sec,1808.0,#961 P,188,24
24,25 / 197,Yoshitomo Tsutsugo LF | TB,17 sec,383.0,#59 OF,197,25
25,26 / 204,Tyler O'Neill LF | STL,29 sec,1195.0,#55 2B,204,26
26,27 / 213,Dylan Bundy SP | LAA,19 sec,1839.0,#975 P,213,27
27,28 / 220,Paul DeJong SS | STL,16 sec,417.0,#26 SS,220,28
28,29 / 229,Josh Lindblom RP | MIL ,16 sec,527.0,#343 P,229,29
29,30 / 236,Daniel Hudson RP | WAS,11 sec,645.0,#118 OF,236,30
30,1 / 1,Ronald Acuna CF | ATL,,517.0,#86 OF,1,1
31,2 / 16,Rafael Devers 3B | BOS,9 sec,1218.0,#50 3B,16,2
32,3 / 17,Walker Buehler SP | LAD,6 sec,422.0,#281 P,17,3
33,4 / 32,Xander Bogaerts SS | BOS,13 sec,353.0,#21 SS,32,4
34,5 / 33,Keston Hiura 2B | MIL,19 sec,184.0,#13 2B,33,5
35,6 / 48,Zack Greinke SP | HOU,14 sec,350.0,#243 P,48,6
36,7 / 49,Tyler Glasnow SP | TB,5 sec,125.0,#91 P,49,7
37,8 / 64,Kirby Yates RP | SD,14 sec,1805.0,#958 P,64,8
38,9 / 65,Kris Bryant 3B | CHC,16 sec,1238.0,#53 3B,65,9
39,10 / 80,Mitch Garver C | MIN,15 sec,1735.0,#167 C,80,10
40,11 / 81,Bo Bichette SS | TOR,27 sec,573.0,#36 SS,81,11
41,12 / 96,Zac Gallen SP | ARI,24 sec,143.0,#103 P,96,12
42,13 / 97,Andrew Benintendi LF | BOS,9 sec,1736.0,#306 OF,97,13
43,14 / 112,Archie Bradley RP | ARI,21 sec,59.0,#39 P,112,14
44,15 / 113,David Dahl CF | COL,10 sec,453.0,#70 OF,113,15
45,16 / 128,Eric Hosmer 1B | SD,10 sec,191.0,#5 1B,128,16
46,17 / 129,Nick Senzel CF | CIN,6 sec,371.0,#54 OF,129,17
47,18 / 144,Nick Anderson RP | TB,11 sec,115.0,#84 P,144,18
48,19 / 145,Dustin May RP | LAD,5 sec,352.0,#244 P,145,19
49,20 / 160,Miguel Cabrera DH | DET,17 sec,1748.0,#103 1B,160,20
50,21 / 161,Alex Verdugo CF | BOS,12 sec,1241.0,#143 OF,161,21
51,22 / 176,Andrew Vaughn 1B | CHW,4 sec,1268.0,#90 1B,176,22
52,23 / 177,Raisel Iglesias RP | CIN,43 sec,635.0,#398 P,177,23
53,24 / 192,Josh James RP | HOU,5 sec,664.0,#412 P,192,24
54,25 / 193,Wil Myers LF | SD,35 sec,167.0,#27 OF,193,25
55,26 / 208,Brady Singer SP | KC,13 sec,246.0,#169 P,208,26
56,27 / 209,Kyle Tucker LF | HOU,4 sec,196.0,#34 OF,209,27
57,28 / 224,Casey Mize SP | DET,21 sec,673.0,#552 P,224,28
58,29 / 225,Brusdar Graterol RP | LAD,39 sec,238.0,#164 P,225,29
59,30 / 240,Spencer Torkelson 3B | DET,14 sec,1268.0,#65 3B,240,30
60,1 / 2,Christian Yelich RF | MIL,31 sec,1790.0,#320 OF,2,1
61,2 / 15,Gleyber Torres SS | NYY,42 sec,551.0,#32 SS,15,2
62,3 / 18,Fernando Tatis SS | SD,33 sec,19.0,#3 SS,18,3
63,4 / 31,Stephen Strasburg SP | WAS,33 sec,673.0,#857 P,31,4
64,5 / 34,George Springer CF | HOU,42 sec,404.0,#66 OF,34,5
65,6 / 47,Javier Baez SS | CHC,22 sec,119.0,#8 SS,47,6
66,7 / 50,Blake Snell SP | TB,37 sec,467.0,#313 P,50,7
67,8 / 63,Vladimir Guerrero 3B | TOR,42 sec,1185.0,#46 3B,63,8
68,9 / 66,Trevor Bauer SP | CIN,33 sec,68.0,#44 P,66,9
69,10 / 79,Paul Goldschmidt 1B | STL,12 sec,401.0,#22 1B,79,10
70,11 / 82,Yoan Moncada 3B | CHW,21 sec,222.0,#17 3B,82,11
