EFFECTIVE,ACTION,,,,,,
PRIORITY,,,,,,,
DATE & TIME,,,,,,,
TEAM,,,,,,,
ADD PLAYER,CURRENT PLAYER,CURRENT PLAYER ACTION,COMMENT,,,,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,1,07/29/20 12:28 pm ET,Mattingly's Sideburns,German Marquez SP | COL,Mike Foltynewicz SP | ATL,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,1,07/30/20 11:09 pm ET,Aces and Eighth Hitters,Miguel Cabrera DH | DET,Howie Kendrick 1B | WAS ,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,1,07/31/20 11:45 pm ET,Up a Creek w/o a Trout,Dansby Swanson SS | ATL ,Adalberto Mondesi SS | KC,Drop,First choice
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,1,08/01/20 07:39 am ET,Danimal,Joe Jimenez RP | DET,Jose Leclerc RP | TEX ,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,1,08/01/20 01:21 pm ET,Swole Daddy,Drew Pomeranz RP | SD ,Sean Doolittle RP | WAS,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,1,08/01/20 05:58 pm ET,BK Cyclones,Michael Wacha SP | NYM ,Marcus Stroman SP | NYM ,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,2,07/31/20 09:34 pm ET,Mattingly's Sideburns,Alex Cobb SP | BAL,Mike Foltynewicz SP | ATL,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,2,07/31/20 11:45 pm ET,Up a Creek w/o a Trout,Kyle Lewis RF | SEA,Adalberto Mondesi SS | KC,Drop,Second choice
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
Do nothing,2,08/01/20 01:22 pm ET,Swole Daddy,Daniel Hudson RP | WAS,Sean Doolittle RP | WAS,Drop,
,,,,,,,
Period 3,,,,,,,
Approve,,,,,,,
Reject,,,,,,,
