Take_Action,Priority,Time,Team,Add_Player,Player,Comment,Round/Pick,Pick,Round
Approved,2,08/08/20 10:43 am ET,Mattingly's Sideburns,Renato Nunez DH | BAL,Mike Soroka SP | ATL,,8 / 59,59,8
Approved,1,08/05/20 12:47 pm ET,Danimal,Ryan Pressly RP | HOU,Roberto Osuna RP | HOU,,14 / 109,109,14
Approved,1,08/08/20 05:07 pm ET,BK Cyclones,Jon Lester SP | CHC,James Paxton SP | NYY,,15 / 114,114,15
Approved,4,08/08/20 12:52 pm ET,Swole Daddy,Dallas Keuchel SP | CHW,Ken Giles RP | TOR,,18 / 140,140,18
Approved,6,08/08/20 05:25 pm ET,BK Cyclones,Seth Lugo RP | NYM,Craig Kimbrel RP | CHC,,19 / 146,146,19
Approved,1,08/08/20 12:49 pm ET,Swole Daddy,Nick Markakis RF | ATL,Mark Canha CF | OAK,,19 / 149,149,19
Approved,1,08/08/20 10:43 am ET,Mattingly's Sideburns,Kyle Seager 3B | SEA,Yoenis Cespedes LF | NYM,,19 / 150,150,19
Approved,7,08/08/20 05:28 pm ET,BK Cyclones,Randy Dobnak SP | MIN,Aaron Hicks CF | NYY,,21 / 162,162,21
Approved,2,08/07/20 11:52 pm ET,Up a Creek w/o a Trout,Dominic Smith 1B | NYM,Khris Davis DH | OAK,Second choice,21 / 163,163,21
Approved,2,08/05/20 12:49 pm ET,Danimal,Spencer Howard SP | PHI,Sandy Alcantara SP | MIA,,22 / 173,173,22
Approved,8,08/08/20 10:10 pm ET,Danimal,Trevor Rosenthal RP | KC ,Nathan Eovaldi SP | BOS,,23 / 180,180,23
Approved,5,08/08/20 05:13 pm ET,Danimal,Isiah Kiner-Falefa C | TEX,Wilson Ramos C | NYM,,24 / 189,189,24
Approved,9,08/08/20 05:37 pm ET,BK Cyclones,Zach Eflin SP | PHI,Johnny Cueto SP | SF,,24 / 191,191,24
Approved,1,08/08/20 12:06 pm ET,Aces and Eighth Hitters,Jairo Diaz RP | COL,Josh James RP | HOU,,24 / 192,192,24
Approved,9,08/08/20 09:25 pm ET,Up a Creek w/o a Trout,David Fletcher 3B | LAA,Brandon Lowe 2B | TB,First choice,25 / 195,195,25
Approved,8,08/08/20 12:55 pm ET,Swole Daddy,Starlin Castro 2B | WAS,Yoshitomo Tsutsugo LF | TB,,25 / 197,197,25
Approved,4,08/08/20 04:58 pm ET,Danimal,Tyler Mahle SP | CIN,Jose Leclerc RP | TEX,,26 / 205,205,26
Approved,3,08/08/20 12:03 am ET,Up a Creek w/o a Trout,Zach Plesac SP | CLE ,Steven Matz SP | NYM,First choice,27 / 211,211,27
Approved,10,08/08/20 10:17 pm ET,Danimal,Chris Taylor LF | LAD,Yonny Chirinos SP | TB,,27 / 212,212,27
Approved,12,08/08/20 12:58 pm ET,Swole Daddy,Griffin Canning SP | LAA,Paul DeJong SS | STL,,28 / 220,220,28
Approved,2,08/02/20 10:55 pm ET,BK Cyclones,Teoscar Hernandez CF | TOR,Francisco Mejia C | SD,,28 / 223,223,28
Approved,11,08/08/20 05:39 pm ET,BK Cyclones,David Peterson SP | NYM ,Jordan Montgomery SP | NYY,,29 / 226,226,29
Approved,13,08/09/20 01:13 am ET,BK Cyclones,Leury Garcia CF | CHW,Brandon Nimmo CF | NYM,,30 / 239,239,30
