Round/Pick,Player,Elapsed Time,Roto Rank Overall,Roto Rank Pos
1 / 5,Gerrit Cole SP | NYY,17 seC8,#7,P
2 / 12,Jacob deGrom SP | NYM,38 seC33,#18,P
3 / 21,Aaron Judge RF | NYY,11 seC26,#7,OF
4 / 28,Bryce Harper RF | PHI,16 seC484,#80,OF
5 / 37,Josh Donaldson 3B | MIN,38 seC526,#36,3B
6 / 44,Max Muncy 2B | LAD,10 seC150,#8,2B
7 / 53,Josh Hader RP | MIL,24 seC206,#142,P
8 / 60,Josh Bell 1B | PIT,44 seC550,#38,1B
9 / 69,Yasmani Grandal C | CHW,43 seC619,#21,C
10 / 76,Shohei Ohtani DH | LAA,47 seC265,#83,U
11 / 85,Marcus Semien SS | OAK,22 seC589,#40,SS
12 / 92,Michael Conforto RF | NYM,40 seC256,#40,OF
13 / 101,Andrew McCutchen LF | PHI,42 seC1810,#325,OF
14 / 108,Carlos Santana 1B | CLE,5 seC519,#33,1B
15 / 117,Franmil Reyes RF | CLE,6 seC1689,#289,OF
16 / 124,Rhys Hoskins 1B | PHI,7 seC1175,#50,1B
17 / 133,Kenta Maeda SP | MIN,18 seC4,#4,P
18 / 140,Ken Giles RP | TOR,29 seC524,#341,P
19 / 149,Mark Canha CF | OAK,16 seC339,#49,OF
20 / 156,Jo Adell RF | LAA,35 seC1268,#224,OF
21 / 165,Luke Voit 1B | NYY,9 seC280,#14,1B
22 / 172,MacKenzie Gore SP | SD,19 seC673,#555,P
23 / 181,Drew Pomeranz RP | SD ,32 seC533,#346,P
24 / 188,Ryan McMahon 2B | COL,8 seC1808,#961,P
25 / 197,Yoshitomo Tsutsugo LF | TB,17 seC383,#59,OF
26 / 204,Tyler O'Neill LF | STL,29 seC1195,#55,2B
27 / 213,Dylan Bundy SP | LAA,19 seC1839,#975,P
28 / 220,Paul DeJong SS | STL,16 seC417,#26,SS
29 / 229,Josh Lindblom RP | MIL ,16 seC527,#343,P
30 / 236,Daniel Hudson RP | WAS,11 seC645,#118,OF
Round/Pick,Player,Elapsed Time,Roto,Rank,Overall
1 / 1,Ronald Acuna CF | ATL517
2 / 16,Rafael Devers 3B | BOS,9 seC1218,#50,3B
3 / 17,Walker Buehler SP | LAD,6 seC422,#281,P
4 / 32,Xander Bogaerts SS | BOS,13 seC353,#21,SS
5 / 33,Keston Hiura 2B | MIL,19 seC184,#13,2B
6 / 48,Zack Greinke SP | HOU,14 seC350,#243 P
7 / 49,Tyler Glasnow SP | TB,5 seC125,#91,P
8 / 64,Kirby Yates RP | SD,14 seC1805,#958,P
9 / 65,Kris Bryant 3B | CHC,16 seC1238,#53 3B
10 / 80,Mitch Garver C | MIN,15 seC1735,#167,C
11 / 81,Bo Bichette SS | TOR,27 seC573,#36,SS
12 / 96,Zac Gallen SP | ARI,24 seC143,#103,P
13 / 97,Andrew Benintendi LF | BOS,9 seC1736,#306,OF
14 / 112,Archie Bradley RP | ARI,21 seC59,#39,P
15 / 113,David Dahl CF | COL,10 seC453,#70,OF
16 / 128,Eric Hosmer 1B | SD,10 seC191,#5,1B
17 / 129,Nick Senzel CF | CIN,6 seC371,#54,OF
18 / 144,Nick Anderson RP | TB,11 seC115,#84,P
19 / 145,Dustin May RP | LAD,5 seC352,#244,P
20 / 160,Miguel Cabrera DH | DET,17 seC1748,#103,1B
21 / 161,Alex Verdugo CF | BOS,12 seC1241,#143,OF
22 / 176,Andrew Vaughn 1B | CHW,4 seC1268,#90,1B
