Index,Take_Action,Priority,Time,Team,Add_Player,Player,Comment,Round/Pick,Pick,Round
0,Approved,2,08/08/20 10:43 am ET,Mattingly's Sideburns,Renato Nunez DH | BAL,Mike Soroka SP | ATL,,8 / 59,59,8
1,Reject,3,08/08/20 10:46 am ET,Mattingly's Sideburns,Teoscar Hernandez CF | TOR,Mike Soroka SP | ATL,,8 / 59,59,8
2,Approved,1,08/05/20 12:47 pm ET,Danimal,Ryan Pressly RP | HOU,Roberto Osuna RP | HOU,,14 / 109,109,14
3,Approved,1,08/08/20 05:07 pm ET,BK Cyclones,Jon Lester SP | CHC,James Paxton SP | NYY,,15 / 114,114,15
4,Reject,4,08/08/20 05:21 pm ET,BK Cyclones,Renato Nunez DH | BAL,James Paxton SP | NYY,,15 / 114,114,15
5,Approved,4,08/08/20 12:52 pm ET,Swole Daddy,Dallas Keuchel SP | CHW,Ken Giles RP | TOR,,18 / 140,140,18
6,Reject,5,08/08/20 12:53 pm ET,Swole Daddy,Griffin Canning SP | LAA,Ken Giles RP | TOR,,18 / 140,140,18
7,Reject,6,08/08/20 12:53 pm ET,Swole Daddy,Framber Valdez RP | HOU ,Ken Giles RP | TOR,,18 / 140,140,18
8,Reject,7,08/08/20 12:54 pm ET,Swole Daddy,Zach Plesac SP | CLE ,Ken Giles RP | TOR,,18 / 140,140,18
9,Approved,6,08/08/20 05:25 pm ET,BK Cyclones,Seth Lugo RP | NYM,Craig Kimbrel RP | CHC,,19 / 146,146,19
10,Approved,1,08/08/20 12:49 pm ET,Swole Daddy,Nick Markakis RF | ATL,Mark Canha CF | OAK,,19 / 149,149,19
11,Reject,2,08/08/20 12:49 pm ET,Swole Daddy,Hunter Dozier 3B | KC ,Mark Canha CF | OAK,,19 / 149,149,19
12,Reject,3,08/08/20 12:51 pm ET,Swole Daddy,Christian Walker 1B | ARI ,Mark Canha CF | OAK,,19 / 149,149,19
13,Approved,1,08/08/20 10:43 am ET,Mattingly's Sideburns,Kyle Seager 3B | SEA,Yoenis Cespedes LF | NYM,,19 / 150,150,19
14,Reject,4,08/08/20 10:47 am ET,Mattingly's Sideburns,JaCoby Jones CF | DET,Yoenis Cespedes LF | NYM,,19 / 150,150,19
15,Approved,7,08/08/20 05:28 pm ET,BK Cyclones,Randy Dobnak SP | MIN,Aaron Hicks CF | NYY,,21 / 162,162,21
16,Reject,8,08/08/20 05:35 pm ET,BK Cyclones,Zach Eflin SP | PHI,Aaron Hicks CF | NYY,,21 / 162,162,21
