"Round/Pick","Player","Elapsed Time","Roto Rank Overall","Roto Rank Pos"
"1 / 5","Gerrit Cole SP | NYY","17 sec","8.00","#7 P"
"2 / 12","Jacob deGrom SP | NYM","38 sec","33.00","#18 P"
"3 / 21","Aaron Judge RF | NYY","11 sec","26.00","#7 OF"
"4 / 28","Bryce Harper RF | PHI","16 sec","484.00","#80 OF"
"5 / 37","Josh Donaldson 3B | MIN","38 sec","526.00","#36 3B"
"6 / 44","Max Muncy 2B | LAD","10 sec","150.00","#8 2B"
"7 / 53","Josh Hader RP | MIL","24 sec","206.00","#142 P"
"8 / 60","Josh Bell 1B | PIT","44 sec","550.00","#38 1B"
"9 / 69","Yasmani Grandal C | CHW","43 sec","619.00","#21 C"
"10 / 76","Shohei Ohtani DH | LAA","47 sec","265.00","#83 U"
"11 / 85","Marcus Semien SS | OAK","22 sec","589.00","#40 SS"
"12 / 92","Michael Conforto RF | NYM","40 sec","256.00","#40 OF"
"13 / 101","Andrew McCutchen LF | PHI","42 sec","1810.00","#325 OF"
"14 / 108","Carlos Santana 1B | CLE","5 sec","519.00","#33 1B"
"15 / 117","Franmil Reyes RF | CLE","6 sec","1689.00","#289 OF"
"16 / 124","Rhys Hoskins 1B | PHI","7 sec","1175.00","#50 1B"
"17 / 133","Kenta Maeda SP | MIN","18 sec","4.00","#4 P"
"18 / 140","Ken Giles RP | TOR","29 sec","524.00","#341 P"
"19 / 149","Mark Canha CF | OAK","16 sec","339.00","#49 OF"
"20 / 156","Jo Adell RF | LAA","35 sec","1268.00","#224 OF"
"21 / 165","Luke Voit 1B | NYY","9 sec","280.00","#14 1B"
"22 / 172","MacKenzie Gore SP | SD","19 sec","673.00","#555 P"
"23 / 181","Sean Doolittle RP | WAS","32 sec","533.00","#346 P"
"24 / 188","Robbie Ray SP | ARI","8 sec","1808.00","#961 P"
"25 / 197","Yoshitomo Tsutsugo LF | TB","17 sec","383.00","#59 OF"
"26 / 204","Tommy La Stella 2B | LAA","29 sec","1195.00","#55 2B"
"27 / 213","Luke Weaver SP | ARI","19 sec","1839.00","#975 P"
"28 / 220","Paul DeJong SS | STL","16 sec","417.00","#26 SS"
"29 / 229","Caleb Smith SP | MIA","16 sec","527.00","#343 P"
"30 / 236","Shogo Akiyama CF | CIN","11 sec","645.00","#118 OF"
"Round/Pick","Player","Elapsed Time","Roto Rank Overall","Roto Rank Pos"
"1 / 1","Ronald Acuna CF | ATL","","517.00","#86 OF"
"2 / 16","Rafael Devers 3B | BOS","9 sec","1218.00","#50 3B"
"3 / 17","Walker Buehler SP | LAD","6 sec","422.00","#281 P"
"4 / 32","Xander Bogaerts SS | BOS","13 sec","353.00","#21 SS"
"5 / 33","Keston Hiura 2B | MIL","19 sec","184.00","#13 2B"
"6 / 48","Zack Greinke SP | HOU","14 sec","350.00","#243 P"
"7 / 49","Tyler Glasnow SP | TB","5 sec","125.00","#91 P"
"8 / 64","Kirby Yates RP | SD","14 sec","1805.00","#958 P"
"9 / 65","Kris Bryant 3B | CHC","16 sec","1238.00","#53 3B"
"10 / 80","Mitch Garver C | MIN","15 sec","1735.00","#167 C"
"11 / 81","Bo Bichette SS | TOR","27 sec","573.00","#36 SS"
"12 / 96","Zac Gallen SP | ARI","24 sec","143.00","#103 P"
"13 / 97","Andrew Benintendi LF | BOS","9 sec","1736.00","#306 OF"
"14 / 112","Archie Bradley RP | ARI","21 sec","59.00","#39 P"
"15 / 113","David Dahl CF | COL","10 sec","453.00","#70 OF"
"16 / 128","Eric Hosmer 1B | SD","10 sec","191.00","#5 1B"
"17 / 129","Nick Senzel CF | CIN","6 sec","371.00","#54 OF"
"18 / 144","Nick Anderson RP | TB","11 sec","115.00","#84 P"
"19 / 145","Dustin May RP | LAD","5 sec","352.00","#244 P"
"20 / 160","Howie Kendrick 1B | WAS","17 sec","1748.00","#103 1B"
"21 / 161","Alex Verdugo CF | BOS","12 sec","1241.00","#143 OF"
"22 / 176","Andrew Vaughn 1B | CHW","4 sec","1268.00","#90 1B"
"23 / 177","Raisel Iglesias RP | CIN","43 sec","635.00","#398 P"
"24 / 192","Josh James RP | HOU","5 sec","664.00","#412 P"
"25 / 193","Wil Myers LF | SD","35 sec","167.00","#27 OF"
"26 / 208","Brady Singer SP | KC","13 sec","246.00","#169 P"
"27 / 209","Kyle Tucker LF | HOU","4 sec","196.00","#34 OF"
"28 / 224","Casey Mize SP | DET","21 sec","673.00","#552 P"
"29 / 225","Brusdar Graterol RP | LAD","39 sec","238.00","#164 P"
"30 / 240","Spencer Torkelson 3B | DET","14 sec","1268.00","#65 3B"
"Round/Pick","Player","Elapsed Time","Roto Rank Overall","Roto Rank Pos"
"1 / 2","Christian Yelich RF | MIL","31 sec","1790.00","#320 OF"
"2 / 15","Gleyber Torres SS | NYY","42 sec","551.00","#32 SS"
"3 / 18","Fernando Tatis SS | SD","33 sec","19.00","#3 SS"
"4 / 31","Stephen Strasburg SP | WAS","33 sec","673.00","#857 P"
